TopN,MAE,RMSE 
5,0.014551531162262979,0.022269442174559194
6,0.009342700850161752,0.024188862268907017
7,0.008340873836640722,0.02641223020897621
8,0.006581752971335098,0.018761461766130628
9,0.0178885608695115,0.05416266532469386
10,0.009064821055606919,0.024727557486676616
11,0.014377800455428968,0.03760223858749746
12,0.020571439662181046,0.05435385545730063
13,0.01294602287120788,0.040350297705566016
14,0.011383402383282995,0.028031657031010866
15,0.005606592910502065,0.012241560984387343
16,0.015996043779232725,0.03791231649795561
17,0.007766890443919419,0.0191392784144514
18,0.009740634464629794,0.020535612478339352
19,0.0066360273812233386,0.016691116491084054
20,0.008301607877967396,0.019177316535243225
21,0.008358138293015668,0.018680220581642804
22,0.0066819489515004375,0.01524473912949888
23,0.006106881784398214,0.011661309366870355
24,0.005633976006355486,0.012605535607151244
25,0.005721079261309813,0.012444125522696631
26,0.006072966773253173,0.012529146156785931
27,0.00794134155941597,0.014600740049566093
28,0.006305629814591139,0.01448918199203996
29,0.005693989905559581,0.012330584354440902
30,0.0056716567617905835,0.012669436560162364
